Date,Open,High,Low,Close,Volume,Adj Close
24-10-2012,2352.30005,2352.30005,2352.30005,2352.30005,0,468.4412
23-10-2012,2366,2377.69995,2346.64795,2352.30005,813700,468.4412
22-10-2012,2375,2398.30005,2370.052,2386.19995,300700,475.19208
19-10-2012,2376.24805,2395.80005,2368.052,2383.30005,569200,474.61459
18-10-2012,2367,2393.552,2345,2375.80005,500600,473.12103
17-10-2012,2371,2377.75195,2357.1001,2367.75195,285200,459.5698
16-10-2012,2372,2389,2347,2354.448,600700,456.98757
15-10-2012,2386,2413.552,2355,2365.69995,982800,459.17152
12-10-2012,2350,2446.80005,2317,2395.64795,5486300,464.98429
11-10-2012,2491.5,2576.948,2482,2531.448,752400,491.34246
10-10-2012,2508,2527.69995,2492,2504.24805,269000,486.06307
09-10-2012,2502.24805,2548,2484.052,2536.948,291100,492.40998
08-10-2012,2524,2543,2476.24805,2490.8999,414600,483.47226
05-10-2012,2572,2584,2366.3999,2527.8999,379000,490.65379
04-10-2012,2571.14795,2593.448,2557.24805,2575.3999,321500,499.87332
03-10-2012,2600.19995,2619,2562.24805,2578.552,299400,500.48513
02-10-2012,2609.1001,2609.1001,2609.1001,2609.1001,0,506.41437
01-10-2012,2548.1001,2620,2548.1001,2609.1001,286000,506.41437
28-09-2012,2569,2579,2528.19995,2534,265400,491.83779
27-09-2012,2591,2600,2533.052,2548.69995,223900,494.69098
26-09-2012,2582.14795,2598.8999,2569,2586.80005,166100,502.08604
25-09-2012,2589,2610,2588,2596.052,169100,503.8818
24-09-2012,2594.64795,2608,2575,2600.3999,224100,504.72571
21-09-2012,2619.948,2648.64795,2587.5,2594.64795,389500,503.60928
20-09-2012,2561,2642,2554.64795,2615.552,300000,507.66666
19-09-2012,2599.64795,2599.64795,2599.64795,2599.64795,0,504.57975
18-09-2012,2572,2619.5,2572,2599.64795,265800,504.57975
17-09-2012,2647,2648,2547.052,2562.6001,382000,497.38894
14-09-2012,2583,2642.448,2583,2632.80005,708600,511.01443
13-09-2012,2537,2561,2518.30005,2551.948,269700,495.32141
12-09-2012,2534.69995,2550,2521.69995,2536.8999,300800,492.40065
11-09-2012,2497,2535.24805,2480,2528.69995,322800,490.80907
10-09-2012,2495,2527.948,2478.35205,2511,437100,487.37359
07-09-2012,2447,2489.948,2447,2483,389800,481.93892
06-09-2012,2350,2426,2349,2422.19995,521800,470.13791
05-09-2012,2348,2355.8999,2310,2338.448,271600,453.88204
04-09-2012,2366,2370,2342.80005,2362.3999,153700,458.531
03-09-2012,2371,2399.64795,2363.30005,2369.552,210200,459.91919
31-08-2012,2389,2390,2360.24805,2373.24805,204400,460.63657
30-08-2012,2383,2403.80005,2370,2391,246400,464.08214
29-08-2012,2421,2421,2383.552,2389.69995,188000,463.82981
